anime_id,name,genre,type,episodes,rating,members
1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen",TV,37,8.63,2589552
16498,Attack on Titan,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",TV,25,8.48,2531397
5114,Fullmetal Alchemist:Brotherhood,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",TV,64,9.19,2248456
11757,Sword Art Online,"Action, Game, Adventure, Romance, Fantasy",TV,25,7.25,2214395
30276,One Punch Man,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural",TV,12,8.57,2123866
31964,My Hero Academia,"Action, Comedy, School, Shounen, Super Power",TV,13,8.11,1909814
22319,Tokyo Ghoul,"Action, Mystery, Horror, Psychological, Supernatural, Drama, Seinen",TV,12,7.81,1895488
20,Naruto,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,220,7.91,1830540
9253,Steins;Gate,"Thriller, Sci-Fi",TV,24,9.11,1771162
19815,"No Game, No Life","Game, Adventure, Comedy, Supernatural, Ecchi, Fantasy",TV,12,8.2,1751054
32281,Your Name.,"Romance, Supernatural, School, Drama",Movie,1,8.96,1726660
11061,Hunter x Hunter (2011),"Action, Adventure, Fantasy, Shounen, Super Power",TV,148,9.1,1673924
33486,My Hero Academia 2,"Action, Comedy, Super Power, School, Shounen",TV,25,8.33,1611771
6547,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",TV,13,8.15,1591773
25777,Attack on Titan Season 2,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",TV,12,8.45,1591506
1575,Code Geass:Lelouch of the Rebellion,"Action, Military, Sci-Fi, Super Power, Drama, Mecha, School",TV,25,8.72,1583882
4224,Toradora!,"Slice of Life, Comedy, Romance, School",TV,25,8.24,1567792
1735,Naruto:Shippuden,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,500,8.16,1543765
20507,Noragami:Stray God,"Action, Adventure, Comedy, Supernatural, Shounen",TV,12,8.01,1535575
10620,The Future Diary,"Action, Mystery, Psychological, Shounen, Supernatural, Thriller",TV,26,7.54,1533289
31240,Re:ZERO -Starting Life in Another World-,"Psychological, Drama, Thriller, Fantasy",TV,25,8.29,1478842
23273,Your Lie in April,"Drama, Music, Romance, School, Shounen",TV,22,8.74,1442330
21881,Sword Art Online II,"Action, Game, Adventure, Romance, Fantasy",TV,24,6.79,1437210
38000,Demon Slayer:Kimetsu no Yaiba,"Action, Demons, Historical, Shounen, Supernatural",TV,26,8.62,1423778
